unifact_id,uni_name,country_name,year,teaching,research,citations,industry_income,international_outlook
95,Hamburg University of Technology,Germany,2013,,,,,
96,Heidelberg University,Germany,2013,61.4,49,75.5,40.7,61.3
97,Humboldt University of Berlin,Germany,2013,55.4,58.7,59.5,,57.5
98,Johannes Gutenberg University of Mainz,Germany,2013,33.5,18.4,85.2,,57
99,Justus Liebig University Giessen,Germany,2013,,,,,
100,Karlsruhe Institute of Technology,Germany,2013,46.3,38.9,63.4,82.9,64.5
101,Leibniz University of Hanover,Germany,2013,36.6,19.1,35.1,40.3,48.2
102,LMU Munich,Germany,2013,65.4,66.5,85.5,42,54.7
103,Otto von Guericke University of Magdeburg,Germany,2013,,,,,
104,Ruhr University Bochum,Germany,2013,36.7,32.9,42.4,54.3,48.3
105,RWTH Aachen University,Germany,2013,45.3,32.4,73.8,63.1,53.9
106,Technical University of Berlin,Germany,2013,,,,,
107,Technical University of Darmstadt,Germany,2013,37.8,31.8,44.4,84.4,64.4
108,Technical University of Munich,Germany,2013,51.2,42.4,76.5,49.7,61.5
109,TU Dortmund University,Germany,2013,,,,,
110,TU Dresden,Germany,2013,29.7,15.6,63.9,36.1,48.9
111,Ulm University,Germany,2013,,,,,
112,University of Bayreuth,Germany,2013,25.6,14.9,72.1,35.4,50.4
113,University of Bonn,Germany,2013,40.9,26.1,80.4,,54
114,University of Bremen,Germany,2013,,,,,
115,University of Cologne,Germany,2013,,,,,
116,University of Duisburg Essen,Germany,2013,24.4,14.7,54.7,41.1,50.2
117,University of Erlangen Nuremberg,Germany,2013,35,18.7,74.6,45.2,49
118,University of Freiburg,Germany,2013,48.3,33,72.4,81.1,54.9
119,University of Gottingen,Germany,2013,50,52.5,92.5,34.4,51
120,University of Greifswald,Germany,2013,,,,,
121,University of Hamburg,Germany,2013,,,,,
122,University of Hohenheim,Germany,2013,,,,,
123,University of Kaiserslautern,Germany,2013,,,,,
124,University of Kiel,Germany,2013,32.1,27,62.5,35.6,44.6
125,University of Konstanz,Germany,2013,32.6,35.6,64.5,51.9,58.5
126,University of Mannheim,Germany,2013,,,,,
127,University of Marburg,Germany,2013,,,,,
128,University of Munster,Germany,2013,35.9,20.4,63.6,38.2,43.2
129,University of Paderborn,Germany,2013,,,,,
130,University of Passau,Germany,2013,,,,,
131,University of Potsdam,Germany,2013,,,,,
132,University of Siegen,Germany,2013,,,,,
133,University of Stuttgart,Germany,2013,,,,,
134,University of Tubingen,Germany,2013,36.3,25.1,73.8,31.6,56.3
135,University of Wurzburg,Germany,2013,33,19.4,70.9,30.4,44.8
136,Bielefeld University,Germany,2014,22.8,17.9,59.9,35.8,46.9
137,Charite Universitatsmedizin Berlin,Germany,2014,,,,,
138,Free University of Berlin,Germany,2014,43.8,58,64.8,34.4,58.7
139,Goethe University Frankfurt,Germany,2014,28.9,20.4,80.7,39.8,56.4
140,Hamburg University of Technology,Germany,2014,,,,,
141,Heidelberg University,Germany,2014,57.8,44.8,76,42.1,61.3
142,Humboldt University of Berlin,Germany,2014,45.6,48.7,68.4,,54.4
143,Johannes Gutenberg University of Mainz,Germany,2014,,,,,
144,Justus Liebig University Giessen,Germany,2014,,,,,
145,Karlsruhe Institute of Technology,Germany,2014,39,33.6,64.8,83,61.9
146,Leibniz University of Hanover,Germany,2014,30.9,15.4,39.5,42.7,47.2
147,LMU Munich,Germany,2014,55.4,54.1,83.3,41.4,56.3
148,Otto von Guericke University of Magdeburg,Germany,2014,,,,,
149,Ruhr University Bochum,Germany,2014,27.8,20.9,42,45.2,50.9
150,RWTH Aachen University,Germany,2014,40.4,31.3,76,73.9,55.5
151,Technical University of Berlin,Germany,2014,,,,,
152,Technical University of Darmstadt,Germany,2014,37.6,30.7,43.3,88,66.3
153,Technical University of Munich,Germany,2014,48.2,35.2,80.7,50.1,63.1
154,TU Dortmund University,Germany,2014,,,,,
155,TU Dresden,Germany,2014,28.7,15,71.8,38.4,49.5
156,Ulm University,Germany,2014,38.6,20.6,68.4,51.1,54.6
157,University of Bayreuth,Germany,2014,22.8,12.7,66,,54.1
158,University of Bonn,Germany,2014,35.8,20.4,80.7,,54.2
159,University of Bremen,Germany,2014,,,,,
160,University of Cologne,Germany,2014,29.7,18.7,63.6,,53.4
161,University of Duisburg Essen,Germany,2014,20.4,12,59.9,41.7,47.7
162,University of Erlangen Nuremberg,Germany,2014,32.7,16.5,71.8,47.5,49.6
163,University of Freiburg,Germany,2014,40.1,28.4,71.8,86.6,55.9
164,University of Gottingen,Germany,2014,45.1,48.8,89.6,41.2,51.5
165,University of Greifswald,Germany,2014,,,,,
166,University of Hamburg,Germany,2014,,,,,
167,University of Hohenheim,Germany,2014,,,,,
